channel,date,time,name
"Първа програма",1968-06-15,20:00,Панорама
"Втора програма",1979-01-01,15:20,"Новогодишни неволи - концерт народна музика и хумор"
"Втора програма",1979-01-01,17:00,"Мелодията на Верийския квартал съветски Музикален филм"
"Втора програма",1979-01-01,18:30,"Международен турнир по ски-скокове - ""Четирите шанци"" репортаж от Гармиш Партенкирхен"
"Втора програма",1979-01-01,19:30,"Конкурс на БТ за анекдоти"
"Втора програма",1979-01-01,19:45,"Диксилент -78 предаване от Дрезден"
"Втора програма",1979-01-01,20:25,"Световно първенство по латиноамерикански танци за професионалисти - репортаж"
"Втора програма",1979-01-01,21:20,"Театрални Меридиани"": ""Колко е важно да бъдеш сериозен"" спектакъл Оскар Уайлд"
"Втора програма",1979-01-01,23:00,"Джазов концерт"
"Първа програма",1979-01-01,10:00,"Народна музика"
"Първа програма",1979-01-01,10:15,"Детство мое програма, посветена на откриването на Международната година на детето"
"Първа програма",1979-01-01,13:15,"Празничен симфоничен концерт - директно предаване от Виена"
"Първа програма",1979-01-01,14:30,"Телевизионен мюзикхол (Продължение от новогодишната нощ)"
"Първа програма",1979-01-01,15:55,"Сламеното теленце детски анимационен филм"
"Първа програма",1979-01-01,16:05,"Cpeщи на приятели в Останкино естраден концерт на Централната съветска телевизия"
"Първа програма",1979-01-01,17:30,Новини
"Първа програма",1979-01-01,17:40,"Hoвогодишен тираж на тото 2"
"Първа програма",1979-01-01,17:45,"Слово на извънредния и пълномощен посланик на Република Куба у нас Хосе Ал варес Браво по случай националния празник на страната"
"Първа програма",1979-01-01,17:55,"Аз съм Куба документален филм,"
"Първа програма",1979-01-01,18:20,"Каубой в града анимационен филм,"
"Първа програма",1979-01-01,18:30,"Лешникът Кракатук - музикален спектър,"
"Първа програма",1979-01-01,19:50,"Лека нощ, деца"
"Първа програма",1979-01-01,20:00,"По света и у нас"
"Първа програма",1979-01-01,20:30,"Вечерни мелодии - естраден концерт"
"Първа програма",1979-01-01,21:00,"Baсилка:  ""Хит парад"" продължение от новогодишната нощ"
"Първа програма",1979-01-01,22:00,"Вариете  ""Одеон"", стари градски песни"
"Първа програма",1979-01-01,23:00,"История на лекомислието - Испански игрален филм"
"Първа програма",1979-01-01,23:45,Hoвини
"Първа програма",1979-01-02,17:10,"Програма за детските градини"
"Първа програма",1979-01-02,17:30,Новини
"Първа програма",1979-01-02,17:40,"Садко богаташ детски анимационен филм"
"Първа програма",1979-01-02,18:00,"Средиземно море познато и непознато (ХІІ епизод)"
"Първа програма",1979-01-02,18:25,"За профсъюзитe документален филм"
"Първа програма",1979-01-02,18:55,"Ха кажете, дружина - да бъде! - фолклорно предаване,"
"Първа програма",1979-01-02,19:15,"Махалата Документален филм"
"Първа програма",1979-01-02,19:40,"Актуална тема"
"Първа програма",1979-01-02,19:50,"Лека нощ, деца!"
"Първа програма",1979-01-02,20:00,"По света и у нас"
