# 1983-12-31 TV Schedule for Първа програма
time	title
10:00	Новини
10:10	Дядомразиада - детски новогодишен спектакъл
11:30	Топло - българска кинокомедия. В ролите Татяна Лолова, Стефан Данаилов, Константин Коцев, Георги Парцалев, Георги Черкелов, Тодор Колев. Сценарист и режисьор Владимир Янчев
13:05	Информационен дневник
17:05	Любими певици и свирачи - форлклорна програма с участието на Надка Караджова, Верка Сидерова, Константин Варимезов
17:30	Новини
17:40	Слово на извънредния и пълномощен посланник на Куба у нас по случай националния празник на страната
18:00	Програма за децата: Студио X за малките зрители: Ланс Линк - тайният агент
18:20	Анимация за деца: Мики Маус, Приказка за трите патета, Пепеляшка, Свинарят, Кой вижда по-далеч
19:15	Зимна приказка - балет по музика на П.И. Чайковски
19:50	Информационно публицистична програма
20:50	Любовни трепети - дуети на опери от Доницети и Верди в изпълнение на млади български певци
21:20	Съзвездие'83 - съвместна продукция на Българската телевизия, Българското радио и Народния дворец на културата "Людмила Живкова"
22:10	Празничен репортаж
22:20	Съзвездие'83 (II част)
23:20	Празничен репортаж
23:30	Народни хора
23:50	Приветствие на генералния секретар на ЦК на БКП и председател на Държавния съвет на НРБ Тодор Живков към българския народ
00:05	Жива здрава годинчице
00:15	Приветствие на централната съветска телевизия
00:30	Танц експрес '84 - дископрограма
03:00	Край на програмата
