# 1991-04-16 TV Schedule for Втора програма
time	title
19:00	Днес
19:05	"Език мой"
19:10	Курс по английски език за напреднали (ХI урок)
19:40	"Лято и музика" забавно-музикално предаване
19:45	Творчеството на народите по света (Япония)
20:00	"Присъствие": "Комуникацията мост на единомислещите"
20:30	Пряка реч
21:00	Хора на път
21:10	Спортен екран
22:00	Днес
22:15	"Отвъд отмъщението" - игрален филм, режисьор Рено Сен Пиер, в ролите: Роже Суза, Мари-Катрин Конти. Ан-Мари Филип и др., първо излъчване, с надписи (канал Франс Ентернасионал)
