# 1996-02-01 TV Schedule for Ефир 2
time	title
18:00	Днес
18:05	Вероника - лицето на любовта - семеен филм, 14 еп.
18:55	Гласове от безкрая: Индже - изпълняват Елка Вълчева и Атешхан Юсеинов
19:00	Кеш
19:30	Днес
19:45	Частен случай
19:50	Агробизнес
20:00	Приключенията на Бриско Каунти Младши - тв сериен филм, 10 еп.
20:50	Концерт на Петко Генков /класическа китара/
21:30	Жилет - световен спорт
22:00	Днес +
22:30	Точно попадение
22:35	Тв справочник
22:40	Киноклуб на Ефир 2: Отвъдното - документален филм, режисьорски дебют на Дайан Кийтън
