# 2000-03-02 TV Schedule for Канал 1
time	title
06:30	Сутрешен блок
09:30	Страсти под слънцето - сериен тв филм /104 епизод/
10:20	За вас, потребители
10:50	Детски свят: "Грозното пате" - анимационен филм /25 и 26 епизод/
11:45	Американски пътешественик - документална поредица /5 епизод/
12:00	Народно творчество: "Бисери от Македония"
12:30	По света и у нас
12:40	Светът на чудесата - документална поредица
13:05	Последен ход - сериен тв филм /4 епизод/
14:00	Третият сектор: Мисията възможна
14:30	Британски хоризонти
15:00	По света и у нас
15:05	Хроника на войната 1876 -1878 /ІІ част/
15:50	Език мой
16:05	Страсти под слънцето - сериен тв филм /111 епизод/
17:00	По света и у нас
17:10	Теглене тиражите на ТОТО 2
17:40	Вкусно
17:55	Гол плюс
18:00	Празничен концерт, посветен на Освобождението на България - пряко предаване от НДК
19:05	Седмица
19:50	Лека нощ, деца!: "Гугулиада" /11 приказка/
20:00	По света и у нас
20:35	Спешно отделение - сериен тв филм /І епизод/
21:25	Всички обичат Реймънд - сериен тв филм /22 епизод/
21:50	Новите документи за самоличност
22:00	Екип 4
22:30	24 квадрата
23:00	Стунджи - изпълнения на барабаниста Стоян Янкулов
23:30	1002 нощи
00:00	По света и у нас
00:15	1002 нощи
00:45	Телепазарен прозорец
01:00	Неразкрити убийства - сериен тв филм /17 епизод/
01:50	Джазфестивал Банско '99: концерт на "Зона "Ц"
02:50	Вечерно куклено шоу
03:20	Светът на чудесата - документална поредица
03:50	Семе от тамаринд - игрален филм /Англия/
05:55	Отвъдморски легенди - научнопопулярен филм /9 епизод/
06:25	Интеграл: видеоклипове на Джони Клег
06:55	Дързост и красота - сериен тв филм /153 епизод/
